machine name is DESKTOP-PIBLKPK||software you use Microsoft Windows NT 6.2.9200.0||user name is Hiomca|| system start since milesecond : 530413046

Process ID: 1292 ||Process Name: svchost || User Time: 00:00:13.0312500 || Start at :12/23/2017 7:32:43 PM

Process ID: 11204 ||Process Name: ShellExperienceHost || User Time: 00:00:14.3593750 || Start at :12/29/2017 8:22:41 AM

Process ID: 3876 ||Process Name: ServiceHub.VSDetouredHost || User Time: 00:00:06.0625000 || Start at :12/29/2017 10:47:13 PM

Process ID: 8616 ||Process Name: csrss || User Time: 00:01:15.8906250 || Start at :12/29/2017 1:53:37 AM

Process ID: 4736 ||Process Name: sqlservr || User Time: 02:13:35.6875000 || Start at :12/23/2017 7:32:45 PM

Process ID: 392 ||Process Name: svchost || User Time: 00:04:43.5000000 || Start at :12/23/2017 7:32:43 PM

Process ID: 9044 ||Process Name: svchost || User Time: 00:00:00.8281250 || Start at :12/29/2017 8:22:40 AM

Process ID: 1284 ||Process Name: svchost || User Time: 00:00:02.1406250 || Start at :12/23/2017 7:32:43 PM

Process ID: 5160 ||Process Name: VBCSCompiler || User Time: 00:00:02.8281250 || Start at :12/29/2017 10:47:27 PM

Process ID: 940 ||Process Name: svchost || User Time: 00:02:08.8437500 || Start at :12/23/2017 7:32:43 PM

Process ID: 4728 ||Process Name: sqlservr || User Time: 02:12:17.8281250 || Start at :12/23/2017 7:32:45 PM

Process ID: 10760 ||Process Name: svchost || User Time: 00:00:00.6093750 || Start at :12/23/2017 9:05:47 PM

Process ID: 1276 ||Process Name: svchost || User Time: 00:00:01 || Start at :12/23/2017 7:32:43 PM

Process ID: 316 ||Process Name: smss || User Time: 00:00:00.1093750 || Start at :12/23/2017 7:32:40 PM

Process ID: 3860 ||Process Name: browser || User Time: 00:02:02.7343750 || Start at :12/29/2017 7:19:49 PM

Process ID: 4720 ||Process Name: svchost || User Time: 00:00:02.2031250 || Start at :12/23/2017 9:42:51 PM

Process ID: 10752 ||Process Name: igfxEM || User Time: 00:00:00.2187500 || Start at :12/29/2017 8:22:40 AM

Process ID: 1268 ||Process Name: svchost || User Time: 00:00:00.8750000 || Start at :12/23/2017 7:32:43 PM

Process ID: 3852 ||Process Name: svchost || User Time: 00:00:05.2343750 || Start at :12/23/2017 7:32:44 PM

Process ID: 2116 ||Process Name: svchost || User Time: 00:00:04.0781250 || Start at :12/23/2017 7:32:44 PM

Process ID: 2984 ||Process Name: MSBuild || User Time: 00:00:01 || Start at :12/29/2017 10:47:26 PM

Process ID: 2552 ||Process Name: svchost || User Time: 00:00:22.6093750 || Start at :12/23/2017 7:32:44 PM

Process ID: 3840 ||Process Name: svchost || User Time: 00:00:00.0312500 || Start at :12/23/2017 7:32:44 PM

Process ID: 4268 ||Process Name: svchost || User Time: 00:00:00.0625000 || Start at :12/23/2017 7:32:45 PM

Process ID: 1680 ||Process Name: svchost || User Time: 00:00:00.2500000 || Start at :12/23/2017 7:32:43 PM

Process ID: 11592 ||Process Name: RuntimeBroker || User Time: 00:00:00.1562500 || Start at :12/29/2017 11:13:34 AM

Process ID: 9928 ||Process Name: browser || User Time: 00:21:24.3281250 || Start at :12/29/2017 6:57:56 PM

Process ID: 2536 ||Process Name: svchost || User Time: 00:00:01.5156250 || Start at :12/23/2017 7:32:44 PM

Process ID: 2104 ||Process Name: svchost || User Time: 00:00:01.1250000 || Start at :12/23/2017 7:32:44 PM

Process ID: 5980 ||Process Name: svchost || User Time: 00:00:13.7656250 || Start at :12/23/2017 7:32:49 PM

Process ID: 3820 ||Process Name: sqlwriter || User Time: 00:00:00 || Start at :12/23/2017 7:32:44 PM

Process ID: 6836 ||Process Name: GoogleCrashHandler || User Time: 00:00:00.3437500 || Start at :12/23/2017 7:32:50 PM

Process ID: 7592 ||Process Name: browser || User Time: 00:02:17.3125000 || Start at :12/29/2017 7:14:50 PM

Process ID: 12004 ||Process Name: browser || User Time: 00:07:04.1250000 || Start at :12/29/2017 8:23:00 AM

Process ID: 1656 ||Process Name: svchost || User Time: 00:00:00.3125000 || Start at :12/23/2017 7:32:43 PM

Process ID: 6396 ||Process Name: svchost || User Time: 00:00:01.9843750 || Start at :12/23/2017 7:32:49 PM

